Section,Category,Poziom,Type,Question,True 1,True 2,True 3,True 4,True 5,False 1,False 2,False 3,False 4,False 5
FARMAKOKINETYKA,Farmakokinetyka,,testowe,Stan stacjonarny:,ustala się na podstawie znajomości T1/2,osiągany jest w przybliżeniu po 4 okresach półtrwania,"to stan, w którym kolejne podanie leku nie zmienia średniego stężenia leku we krwi",,,to parametr nieistotny w praktyce klinicznej,,,,
FARMAKOKINETYKA,Farmakokinetyka,,testowe,Zjawisko samoindukcji:,to zdolność niektórych leków do przyspieszania własnego metabolizmu,rozwija się podczas długotrwałego stosowania niektórych leków,może być przyczyną powstawania tolerancji na lek,"może zwiększać skuteczność terapeutyczną leku, gdy formą aktywną jest metabolit",,polega na hamowaniu własnego metabolizmu przez lek,występuje wyłącznie po podaniu dożylnym,dotyczy wyłącznie leków wydalanych w postaci niezmienionej,,
LEKI PRZECIWHISTAMINOWE,Wskazania,,testowe,Lekami przeciwwymiotnymi najczęściej stosowanymi w chorobie lokomocyjnej są:,difenhydramina,dimenhydrynat,,,,loratadyna,aprepitant,,,
LEKI PRZECIWHISTAMINOWE,Działania niepożądane,,testowe,Do działań niepożądanych antagonistów receptora histaminowego typu 1 I generacji należą:,zaburzenia akomodacji,trudności w oddawaniu moczu u osób z przerostem gruczołu krokowego,senność,,,bradykardia,,,,
NIEOPIOIDOWE LEKI PRZECIWBÓLOWE,Mechanizm działania,,testowe,Lekiem selektywnie hamującym cyklooksygenazę typu 2 jest:,celekoksyb,,,,,ibuprofen,kwas acetylosalicylowy,ketoprofen,,
NIEOPIOIDOWE LEKI PRZECIWBÓLOWE,Wskazania,,testowe,U dzieci poniżej 12 r.ż. jako lek przeciwgorączkowy stosowany jest:,ibuprofen,paracetamol,,,,kwas acetylosalicylowy,metamizol,,,
UKŁAD POKARMOWY,Klasyfikacja,,testowe,Jako lek zapierający zastosujesz:,loperamid,difenoksylat,,,,siarczan magnezu,preparat z ziela senesu,,,
UKŁAD POKARMOWY,Wskazania,,testowe,Wskaż prawdziwe stwierdzenia dotyczące leczenia biegunek:,leki zapierające mogą wydłużać leczenie biegunek zakaźnych,w terapii biegunek można podawać leki adsorpcyjne,postępowanie w biegunkach obejmuje nawodnienie i podaż elektrolitów,,,w biegunkach bakteryjnych zawsze wskazane jest podanie antybiotyku,,,,
UKŁAD ODDECHOWY,Wskazania,,testowe,W przypadku kaszlu skuteczne może być podanie:,pentoksyweryna,dekstrometorfan,,,,jodek potasu,gwajakolosulfonian,,,
UKŁAD POKARMOWY,Klasyfikacja,,testowe,Osmotycznym lekiem przeczyszczającym jest:,laktuloza,siarczan sodu,,,,olej rycynowy,parafina płynna,,,
LEKI PRZECIWPASOŻYTNICZE,Wskazania,,testowe,W zakażeniu tasiemcem możesz zastosować:,albendazol,prazykwantel,,,,metronidazol,pentamidyna,,,
LEKI PRZECIWBAKTERYJNE,Wskazania,,testowe,W leczeniu oparzeń zastosujesz:,azotan srebra,jodowany poliwidon,,,,boran sodu,nadmanganian potasu,,,
LEKI PRZECIWBAKTERYJNE,Interakcje,,testowe,Reakcja disulfiramowa może zachodzić podczas jednoczesnego stosowania alkoholu etylowego oraz:,metronidazol,,,,,fosfomycyna,amikacyna,erytromycyna,,
LEKI ROŚLINNE I SUPLEMENTY,Klasyfikacja,,testowe,Saponiny występują w:,korzeń pierwiosnka,korzeń lukrecji,,,,liście dębu,kłącze rzewienia dłoniastego,,,
ANTYKONCEPCJA,Przeciwwskazania,,testowe,Przeciwwskazaniem do stosowania doustnych środków antykoncepcyjnych zawierających wyłącznie gestageny jest:,świeżo przebyta choroba zakrzepowo-zatorowa,rak piersi,,,,nadciśnienie tętnicze,niewydolność serca,,,
LEKI PRZECIWLĘKOWE,Mechanizm działania,,testowe,Benzodiazepiny:,obniżają ciśnienie tętnicze,nasilają przewodnictwo chlorkowe,hamują ośrodek oddechowy,powodują niepamięć wsteczną,,blokują receptory GABA-A,pobudzają ośrodek oddechowy,podwyższają ciśnienie tętnicze,,
FARMAKOKINETYKA,Farmakokinetyka,,testowe,Metabolity leków:,są lepiej rozpuszczalne w wodzie niż pierwotne związki,,,,,są lepiej rozpuszczalne w lipidach niż pierwotny związek,są określane jako „proleki”,są eliminowane wolniej z organizmu niż pierwotne związki,,
ZNIECZULENIA OGÓLNE,Działania niepożądane,,testowe,Podczas stosowania tiopentalu może wystąpić:,nasilenie objawów porfirii wskutek wzrostu aktywności syntazy kwasu delta-aminolewulinowego,skurcz krtani,,,,żółtaczka cholestatyczna,agranulocytoza,,,
