Section,Category,Poziom,Type,Question,True 1,True 2,True 3,True 4,True 5,False 1,False 2,False 3,False 4,False 5
ZNIECZULENIA MIEJSCOWE,Farmakokinetyka,,testowe,"Bupiwakaina jest miejscowym środkiem znieczulającym, który ma znacznie silniejsze i dłuższe działanie niż prokaina. Możliwą przyczyną tej różnicy są poniższe powody z wyjątkiem:",zmniejszonej szybkości metabolizmu prokainy w porównaniu z bupiwakainą,,,,,wyższego współczynnika rozdziału dla bupiwakainy niż prokainy,wyższego wiązania bupiwakainy z albuminami niż prokainy,"pKa bupiwakainy jest bardziej zbliżone do pH 7,4",,
PADACZKA,Wskazania,,testowe,W stanie padaczkowym możesz zastosować:,diazepam,tiopental,fenytoina,midazolam,,flumazenil,etosuksymid,gabapentyna,,
ZNIECZULENIA OGÓLNE,Mechanizm działania,,testowe,Znajdź prawdziwe stwierdzenia dotyczące ketaminy:,czas trwania znieczulenia wynosi 5-10 minut,,,,,obniża częstość tętna i ciśnienie krwi,pobudza receptory NMDA,blokuje receptory opioidowe,,
UKŁAD PRZYWSPÓŁCZULNY,Mechanizm działania,,testowe,Rozszerzenie źrenicy jest typowym objawem działania:,bieluń (Datura stramonium),tropikamid,,,,morfina,muskaryna,,,
UKŁAD PRZYWSPÓŁCZULNY,Działania niepożądane,,testowe,Leki parasympatykomimetyczne:,są przyczyną krótkowzroczności czynnościowej,przyspieszają rozwój zaćmy,,,,są przyczyną dalekowzroczności czynnościowej,zmniejszają łzawienie,,,
CUKRZYCA,Działania niepożądane,,testowe,Podczas insulinoterapii może wystąpić:,zaburzenia widzenia,lipodystrofia,,,,kamica żółciowa,wzrost stężenia kwasu moczowego we krwi,,,
UKŁAD POKARMOWY,Wskazania,,testowe,W wymiotach pochodzenia błędnikowego skutecznym lekiem jest:,skopolamina,dimenhydrynat,,,,cyzapryd,metoklopramid,,,
NIEOPIOIDOWE LEKI PRZECIWBÓLOWE,Działania niepożądane,,testowe,Wskaż właściwe stwierdzenia odnoszące się do metamizolu:,może być przyczyną nerki analgetycznej,zastosowany w iniekcji dożylnej zagraża wystąpieniem wstrząsu anafilaktycznego,może powodować agranulocytozę,działa przeciwgorączkowo,,wykazuje silne działanie przeciwzapalne,jest wybiórczym inhibitorem cyklooksygenazy-2,powoduje hepatotoksyczność zależną od dawki,,
NARKOTYCZNE LEKI PRZECIWBÓLOWE,Farmakokinetyka,,testowe,Wskaż właściwe stwierdzenia odnoszące się do naloksonu:,nie wchłania się po podaniu doustnym,działa krócej niż naltrekson,,,,znosi działanie buprenorfiny,w programach metadonowych jest stosowany dożylnie,,,
UKŁAD POKARMOWY,Klasyfikacja,,testowe,Jako lek zapierający stosuje się:,loperamid,kodeina,difenoksylat,,,preparaty z senesu,,,,
LEKI PRZECIWHISTAMINOWE,Działania niepożądane,,testowe,Wskaż właściwe stwierdzenia odnoszące się do klemastyny:,może być przyczyną senności,ma działanie przeciwświądowe,działa cholinolitycznie,może być podawana jako lek pomocniczy w nagłych odczynach anafilaktycznych,,nie przenika przez barierę krew-mózg,jest lekiem II generacji,wykazuje wybiórcze działanie wobec receptora H2,,
CUKRZYCA,Farmakokinetyka,,testowe,Wskaż właściwe stwierdzenia odnoszące się do metforminy:,hamuje wchłanianie glukozy i witaminy B12 z przewodu pokarmowego,,,,,jest stosowana doustnie i dożylnie,jest wskazana zwłaszcza u osób w podeszłym wieku z otyłością,powoduje kwasicę ketonową,,
UKŁAD POKARMOWY,Mechanizm działania,,testowe,Wskaż prawidłowe połączenie lek – mechanizm działania:,metoklopramid – antagonista receptorów dopaminergicznych,nalokson – antagonista receptorów opioidowych,,,,kodeina – antagonista receptorów opioidowych,dimenhydrynat – agonista receptora H1,,,
UKŁAD ODDECHOWY,Wskazania,,testowe,W leczeniu stanu astmatycznego celowe może być zastosowanie:,teofilina dożylnie,bromek ipratropium,salbutamol,tlenoterapia,,propranolol dożylnie,nieselektywne beta-adrenolityki,leki przeciwkaszlowe zawierające kodeinę,,
GLIKOKORTYKOSTEROIDY,Działania niepożądane,,testowe,Budezonid stosowany donosowo może być przyczyną:,krwawienia z nosa,grzybicy jamy ustnej,wysypki alergicznej na skórze twarzy,chrypki,,zespołu Cushinga po podaniu donosowym,nadciśnienia tętniczego,hiperglikemii po pojedynczej dawce donosowej,,
UKŁAD ODDECHOWY,Klasyfikacja,,testowe,Działanie przeciwkaszlowe wykazuje:,pentoksyweryna,dekstrometorfan,,,,ambroksol,gwajakolosulfonian potasu,,,
ANTYKONCEPCJA,Działania niepożądane,,testowe,Dwuskładnikowe tabletki antykoncepcyjne zwiększają ryzyko:,chorób zakrzepowo-zatorowych,zaburzeń nastroju,zaburzeń profilu lipidowego surowicy,,,osteoporozy,,,,
UKŁAD POKARMOWY,Farmakokinetyka,,testowe,Wskaż właściwe stwierdzenia odnoszące się do difenoksylatu:,dobrze wchłania się z przewodu pokarmowego,może być przyczyną zapalenia trzustki,wykazuje powinowactwo do receptorów opioidowych,,,stosowany jest rutynowo w leczeniu biegunek wywołanych bakteriami wytwarzającymi endotoksyny,,,,
NARKOTYCZNE LEKI PRZECIWBÓLOWE,Przeciwwskazania,,testowe,Przeciwwskazaniem do podania morfiny jest:,ostra porfiria wątrobowa,,,,,ostry obrzęk płuc,zawał mięśnia sercowego z uniesieniem odcinka ST,ból nowotworowy,,
NARKOTYCZNE LEKI PRZECIWBÓLOWE,Działania niepożądane,,testowe,Do efektów ośrodkowych opioidowych leków przeciwbólowych należy:,mioza,wymioty,euforia,depresja ośrodka oddechowego,,zaparcie,skurcz zwieracza Oddiego,zatrzymanie moczu,,
NARKOTYCZNE LEKI PRZECIWBÓLOWE,Mechanizm działania,,testowe,Kodeina wykazuje działanie:,przeciwbólowe,przeciwkaszlowe,,,,przeciwgorączkowe,przeciwzapalne,,,
FARMAKOKINETYKA,Farmakokinetyka,,testowe,Silny efekt pierwszego przejścia nie występuje przy podaniu leku:,transdermalnym,w inhalacjach,doodbytniczym,podjęzykowym,,doustnym,dożołądkowym przez sondę,doustnym w postaci tabletki o przedłużonym uwalnianiu,,
LEKI PRZECIWBAKTERYJNE,Wskazania,,testowe,Na metycylinooporne szczepy Staphylococcus aureus (MRSA) działa:,wankomycyna,tygecyklina,daptomycyna,linezolid,,kloksacylina,cefazolina,amoksycylina z kwasem klawulanowym,,
LEKI PRZECIWLĘKOWE,Wskazania,,testowe,W leczeniu zespołu abstynencyjnego po odstawieniu alkoholu zastosujesz:,diazepam,,,,,flumazenil,atenolol,disulfiram,,
PADACZKA,Działania niepożądane,,testowe,Wskaż właściwe stwierdzenia odnoszące się do lewetyracetamu:,powoduje zaburzenia zachowania,,,,,silnie hamuje prąd wapniowy,stosowany jest w chorobie afektywnej dwubiegunowej,jest inhibitorem wychwytu kwasu gamma-aminomasłowego,,
FARMAKOKINETYKA,Farmakokinetyka,,testowe,Biodostępność leku zależy od:,stopnia jonizacji leku,rozpuszczalności w tłuszczach,wielkości cząsteczki,,,wiązania leku z albuminami,,,,
FARMAKOKINETYKA,Interakcje,,testowe,Działanie hamujące enzymy cytochromu P-450 wykazuje:,ketokonazol,erytromycyna,sok z grejpfruta,,,spironolakton,,,,
UKŁAD PRZYWSPÓŁCZULNY,Wskazania,,testowe,Inhibitory acetylocholinesterazy możesz zastosować w:,chorobie Alzheimera,nużliwości mięśni,,,,astmie oskrzelowej,zatruciu glikozydami naparstnicy,,,
UKŁAD PRZYWSPÓŁCZULNY,Wskazania,,testowe,W nietrzymaniu moczu możesz zastosować:,tolterodyna,darifenacyna,oksybutynina,,,fenoksybenzamina,,,,
LEKI PRZECIWBAKTERYJNE,Wskazania,,testowe,Działanie przeciwpneumokokowe (p-Streptococcus pneumoniae) ma:,amoksycylina,ceftriakson,klindamycyna,,,cyprofloksacyna,,,,
UKŁAD WSPÓŁCZULNY,Wskazania,,testowe,U pacjenta z zaawansowaną hipotonią ortostatyczną możesz zastosować:,fenylefryna,metoksamina,,,,fentolamina,duloksetyna,,,
ZNIECZULENIA OGÓLNE,Działania niepożądane,,testowe,Wskaż właściwe stwierdzenia odnoszące się do propofolu:,powoduje obniżenie ciśnienia tętniczego,może być podawany pacjentom z padaczką,działa depresyjnie na układ oddechowy,jest stosowany w celu indukcji znieczulenia,,wykazuje silne działanie przeciwbólowe,powoduje wzrost ciśnienia tętniczego,jest antagonistą receptorów NMDA,,
UKŁAD WSPÓŁCZULNY,Mechanizm działania,,testowe,Działanie hamujące w stosunku do receptorów alfa- i beta-adrenergicznych wykazuje:,karwedilol,labetalol,,,,metoprolol,tymolol,,,
CHOROBA NIEDOKRWIENNA SERCA,Mechanizm działania,,testowe,Działanie naczyniorozszerzające związane z uwalnianiem tlenku azotu wykazuje:,diazotan izosorbidu,molsidomina,nebiwolol,nitroprusydek sodu,,amlodypina,werapamil,doksazosyna,,
NADCIŚNIENIE TĘTNICZE,Mechanizm działania,,testowe,Działanie naczyniorozszerzające wykazuje:,dihydralazyna,diltiazem,indapamid,amlodypina,,propranolol,efedryna,fenylefryna,,
CHOROBA NIEDOKRWIENNA SERCA,Wskazania,,testowe,Celem przerwania ostrego bólu dławicowego możesz zastosować:,nitrogliceryna,,,,,dihydroergotamina,iwabradyna,moksonidyna,,
LEKI PRZECIWDEPRESYJNE,Klasyfikacja,,testowe,Do leków stabilizujących nastrój należy:,kwas walproinowy,karbamazepina,lamotrygina,węglan litu,,fluoksetyna,lewetyracetam,gabapentyna,,
NIEWYDOLNOŚĆ SERCA,Mechanizm działania,,testowe,Działanie inotropowe dodatnie wykazuje:,milrinon,digoksyna,glukagon,dopamina,,metoprolol,werapamil,diltiazem,,
LEKI MOCZOPĘDNE,Działania niepożądane,,testowe,Podczas leczenia klopamidem może wystąpić:,hipomagnezemia,hiponatremia,hiperglikemia,,,hipokalcemia,,,,
LEKI NASENNE,Mechanizm działania,,testowe,Działanie pobudzające receptory GABA-A wykazuje:,zolpidem,midazolam,,,,klozapina,buspiron,,,
ZABURZENIA RYTMU SERCA,Mechanizm działania,,testowe,Podaj prawidłowe połączenie lek – mechanizm działania:,dorzolamid – hamowanie anhydrazy węglanowej,adenozyna – zahamowanie prądu wapniowego,,,,chlortalidon – zahamowanie szybkiego prądu sodowego,amiodaron – pobudzanie kanałów potasowych,,,
ZABURZENIA RYTMU SERCA,Wskazania,,testowe,Celem przywrócenia rytmu zatokowego u pacjenta z migotaniem przedsionków możesz zastosować:,metoprolol,digoksyna,,,,triamteren,fenytoina,,,
ZNIECZULENIA OGÓLNE,Farmakokinetyka,,testowe,Wskaż właściwe stwierdzenia odnoszące się do atrakurium:,jest metabolizowane przez esterazy osoczowe,może powodować drgawki,jest niedepolaryzującym środkiem zwiotczającym,,,działa zwiotczająco około 1 minutę,,,,
LEKI PRZECIWBAKTERYJNE,Wskazania,,testowe,W pozaszpitalnym (domowym) zapaleniu płuc zastosujesz:,aksetyl cefuroksymu,klarytromycyna,lewofloksacyna,,,kotrimoksazol,,,,
LEKI MOCZOPĘDNE,Działania niepożądane,,testowe,Hiperurykemię możesz obserwować podczas leczenia:,torasemid,hydrochlorotiazyd,,,,spironolakton,mannitol,,,
LEKI PRZECIWGRZYBICZE,Mechanizm działania,,testowe,Epoksydazę skwalenową hamuje:,terbinafina,,,,,ketokonazol,nystatyna,amorolfina,,
LEKI PRZECIWBAKTERYJNE,Działania niepożądane,,testowe,Działanie ototoksyczne wykazuje:,wankomycyna,furosemid,amikacyna,,,etambutol,,,,
BÓLE GŁOWY,Wskazania,,testowe,Celem przerwania migrenowego bólu głowy możesz zastosować:,kwas acetylosalicylowy,ibuprofen,sumatryptan,,,buprenorfina,,,,
NADCIŚNIENIE TĘTNICZE,Działania niepożądane,,testowe,Wskaż prawidłowe połączenie lek – działanie niepożądane:,enalapryl – zaburzenia smaku,salbutamol – drżenia mięśniowe,atorwastatyna – bóle mięśniowe,akarboza – wzdęcia brzucha,,metformina – kwasica ketonowa,paracetamol – agranulocytoza,ibuprofen – methemoglobinemia,,
LEKI PRZECIWBAKTERYJNE,Klasyfikacja,,testowe,Do leków I rzutu w terapii gruźlicy należy:,izoniazyd,ryfampicyna,pirazynamid,,,moksyfloksacyna,,,,
HEMOSTAZA,Działania niepożądane,,testowe,Heparyna może powodować:,łysienie,osteoporozę,niedobór mineralokortykosteroidów,trombocytopenię,,hiperaldosteronizm,hipokaliemię,methemoglobinemię,,
LEKI PRZECIWGRZYBICZE,Wskazania,,testowe,W inwazyjnej kandydozie skuteczne jest zastosowanie:,worykonazol,dezoksycholan amfoterycyny B,,,,ekonazol,nystatyna,,,
TARCZYCA,Mechanizm działania,,testowe,Wskaż prawidłowe połączenie lek – mechanizm działania:,budezonid – zmiana ekspresji genów kodujących białka prozapalne,tiamazol – hamowanie syntezy T3 i T4 poprzez blokowanie aktywności jodazy,,,,ranitydyna – blokowanie przekaźnictwa serotoninergicznego,dimenhydrynat – pobudzenie receptorów histaminowych,,,
LEKI PRZECIWPASOŻYTNICZE,Wskazania,,testowe,Do usuwania wszy ludzkiej z owłosionej skóry głowy stosuje się preparaty zawierające:,permetryna,,,,,kwas borny,oktenidyna,kwas octowy stężony,,
NADCIŚNIENIE TĘTNICZE,Działania niepożądane,,testowe,Wartości ciśnienia tętniczego krwi może zwiększyć:,piroksykam,deksametazon,,,,eplerenon,morfina,,,
CUKRZYCA,Klasyfikacja,,testowe,Wskaż właściwe stwierdzenia odnoszące się do insuliny izofanowej (NPH):,jest stosowana często na noc,,,,,to insulina długodziałająca,to analog długodziałający,jest stosowana przed wszystkimi głównymi posiłkami,,
LEKI PRZECIWBAKTERYJNE,Farmakokinetyka,,testowe,Wskaż właściwe stwierdzenia odnoszące się do netilmycyny:,posiada efekt poantybiotykowy,wykazuje synergizm z beta-laktamami,,,,dobrze wchłania się z przewodu pokarmowego,jest przeciwwskazana u chorych z niewydolnością wątroby,,,
LEKI PRZECIWBAKTERYJNE,Działania niepożądane,,testowe,Wybierz prawidłowo dobrane pary lek – możliwe działanie niepożądane:,imipenem – drgawki,ceftriakson – zakrzepowe zapalenie żył,cefadroksyl – wysypka skórna,penicylina V – wstrząs anafilaktyczny,,wankomycyna – methemoglobinemia,gentamycyna – przerost dziąseł,amoksycylina – hipertermia złośliwa,,
LEKI PRZECIWBAKTERYJNE,Wskazania,,testowe,Erytromycyna jest aktywna wobec:,Mycoplasma pneumoniae,Legionella pneumophila,Chlamydia trachomatis,Listeria monocytogenes,,Pseudomonas aeruginosa,Escherichia coli,Bacteroides fragilis,,
CUKRZYCA,Mechanizm działania,,testowe,Wskaż właściwe stwierdzenia odnoszące się do pramlintydu:,redukuje glikemię poposiłkową,hamuje sekrecję glukagonu,zwalnia opróżnianie żołądka,,,zwiększa apetyt,,,,
FARMAKOKINETYKA,Mechanizm działania,,testowe,Inhibitor allosteryczny:,zmniejsza odpowiedź po związaniu się agonisty z receptorem,,,,,uniemożliwia połączenie się agonisty z receptorem,zmienia strukturę III-rzędową agonisty,wiąże się z agonistą i neutralizuje jego działanie,,
FARMAKOKINETYKA,Farmakokinetyka,,testowe,Leki prekursorowe są aktywowane do postaci aktywnych:,w wątrobie,w osoczu,w nabłonku jelita,,,w śledzionie,,,,
FARMAKOKINETYKA,Farmakokinetyka,,testowe,Duża objętość dystrybucji leku może sugerować:,"istnienie kompartmentu głębokiego, czyli narządu kumulującego lek",małą szybkość wydalania,dużą lipofilność,,,dużą zawartość wody w organizmie,,,,
LEKI PRZECIWDEPRESYJNE,Działania niepożądane,,testowe,Węglan litu powoduje:,drżenie,zaburzenia czynności tarczycy,polidypsję,obrzęki,,agranulocytozę,zwłóknienie płuc,methemoglobinemię,,
HEMOSTAZA,Mechanizm działania,,testowe,Wskaż właściwe stwierdzenia odnoszące się do prasugrelu:,jest prolekiem,wiąże się trwale z receptorem P2Y12 na płytkach krwi,może być podawany łącznie z kwasem acetylosalicylowym,,,jest podawany w profilaktyce migotania przedsionków u pacjentów z przeciwwskazaniem do stosowania antagonistów witaminy K,,,,
HEMOSTAZA,Mechanizm działania,,testowe,Wskaż właściwe stwierdzenia odnoszące się do eteksylanu dabigatranu:,swoiście i odwracalnie hamuje trombinę,jest lekiem prekursorowym,jest skuteczny w zapobieganiu powikłaniom zakrzepowym migotania przedsionków,,,podczas stosowania wymaga monitorowania układu krzepnięcia,,,,
LEKI PRZECIWBAKTERYJNE,Sposób podania,,testowe,Wskaż właściwe stwierdzenia odnoszące się do chlorheksydyny:,stosowana jest w wodnych preparatach w postaci diglukonianu chlorheksydyny,ma niewielkie działanie uczulające lub drażniące skórę,jest przeciwwskazana podczas operacji w uchu środkowym,,,jest odporna na działanie środków powierzchniowo czynnych,,,,
LEKI PRZECIWBAKTERYJNE,Interakcje,,testowe,Reakcję disulfiramową może wywołać:,cefamandol,metronidazol,,,,oksazepam,metformina,,,
CHOROBA PARKINSONA,Działania niepożądane,,testowe,Wady zastawek serca mogą wystąpić podczas leczenia:,pergolid,,,,,selegilina,entakapon,amantadyna,procyklidyna,
PADACZKA,Działania niepożądane,,testowe,Ubytki w polu widzenia mogą wystąpić podczas leczenia:,wigabatryna,,,,,zonisamid,gabapentyna,pregabalina,lamotrygina,
UKŁAD ODDECHOWY,Mechanizm działania,,testowe,Omalizumab:,jest przeciwciałem monoklonalnym anty-IgE,,,,,hamuje fosfodiesterazę typu 2,jest agonistą receptorów beta-2,hamuje fosfolipazę A2,działa hamująco na receptory dla leukotrienów,
UKŁAD ODDECHOWY,Mechanizm działania,,testowe,Antagonistą receptora adenozynowego A2 jest:,teofilina,,,,,meksyletyna,sotalol,mianseryna,finasteryd,
LEKI PRZECIWDEPRESYJNE,Mechanizm działania,,testowe,Antagonistą receptora 5-HT2 jest:,trazodon,,,,,mirtazapina,moklobemid,dezypramina,wenlafaksyna,
LEKI PRZECIWDEPRESYJNE,Wskazania,,testowe,W leczeniu uzależnienia od nikotyny możesz zastosować:,bupropion,,,,,duloksetyna,ipsapiron,tropisetron,zileuton,
